column,unique_count,most_frequent,most_frequent_count,total_records
id,27304,222a3046e0000ae632522ce79df362d67028311da9cfeb2aba4e9d495123e0ed,1,27304
url,27304,9f6da3a01742bd3f2f82fb57392670c9a3c9b849821e3d9579abc9e696a6d119,1,27304
source,14,Twitter Web App,14930,27304
createdAt,27014,2023-10-06 04:55:21,4,27304
lang,12,en,27281,27304
month_year,15,2024-10,3586,27304
illuminating_scored_message,27136,36cb7d55fcf85362ca03f624c2f574f1f55f89db559b17da084df6e643afe5cd,21,27304
