page_id,total_ads,estimated_audience_size_mean,estimated_audience_size_median,estimated_audience_size_sum,estimated_impressions_mean,estimated_impressions_median,estimated_impressions_sum,estimated_spend_mean,estimated_spend_median,estimated_spend_sum,advocacy_msg_type_illuminating_<lambda>,issue_msg_type_illuminating_<lambda>,covid_topic_illuminating_mean,economy_topic_illuminating_mean,education_topic_illuminating_mean
01231aa94ef742ec3dd6422d3f9f06736c2c21c3ddde56676cddb74aca1919c9,1,1000001.0,1000001.0,1000001,6499.0,6499.0,6499,49.0,49.0,49,0,1,0.0,1.0,0.0
0127cfa53b54ce66753cdd3198e223793ffffd2f59b791a45854d7aa28635eef,8,251025.25,1775.0,2008202,11624.0,499.0,92992,74.0,49.0,592,0,0,0.0,0.12,0.0
01326c66f2ab16caa5ba058a1effd66b05f20a6062c8b21d00d82e247ba713c2,1,0.0,0.0,0,499.0,499.0,499,49.0,49.0,49,1,1,0.0,0.0,0.0
018c7e496b5c4c77464f465002f09bac3d57225dbb47bc301d0db6e82e6ec7cf,155,1000001.0,1000001.0,155000155,1492.55,499.0,231345,61.26,49.0,9495,0,0,0.0,0.0,0.0
019450077abcba5307224d8f4092c41ba4ff595dae5d326578e7915995055804,5,810000.6,1000001.0,4050003,16099.0,12499.0,80495,229.0,149.0,1145,0,0,0.0,0.0,0.0
01b5bff8391f61eb62c6ab94f7dcd62f08698526b177d2538401edd299bdc037,25,1000001.0,1000001.0,25000025,8839.0,3499.0,220975,49.0,49.0,1225,1,0,0.0,0.0,0.0
01b750b0050ed326f3430eafe358e74ca4a39980ca99293e99ee63397612c89f,8,1000001.0,1000001.0,8000008,11749.0,12499.0,93992,149.0,149.0,1192,1,1,0.0,0.0,0.0
01b89957590f09cf2f1dc37eebd53b3c828ae0d27bbec3fea417ef8aac0f3241,5,950000.8,1000001.0,4750004,6499.0,7499.0,32495,89.0,49.0,445,1,0,0.0,0.0,0.0
01e24735d61e6b6b7c581fac95ce5327048c3e40bfe146d0dda8005b41e8da02,3,22500.0,30000.0,67500,15499.0,6499.0,46497,282.33,149.0,847,0,0,0.0,0.0,0.0
01fdd3488e7aa51f7c30e7d7deee074bd38213def657abf30abe22b688b97a40,3,1000001.0,1000001.0,3000003,2499.0,2499.0,7497,49.0,49.0,147,1,1,0.0,0.67,0.0
020dfa95e1f29b7289c10eda9576b2b05c2fa472f0d6284aa8eb48f6d1531075,1,75000.0,75000.0,75000,6499.0,6499.0,6499,49.0,49.0,49,0,0,1.0,0.0,0.0
02210abe605da4ec15d021fe8d199bd2fa7715ee261527f0a30dea9059b5a8da,2,7500.0,7500.0,15000,10999.0,10999.0,21998,99.0,99.0,198,1,1,0.0,0.0,0.0
0228cfce01c7fba48ee9e31a057ace3f4474ff5cebf4733613d46cbf61c75492,9,65000.0,75000.0,585000,20443.44,12499.0,183991,415.67,249.0,3741,1,0,0.0,0.33,0.0
0236c8780cd232bb53a47b288d040bbb203d008eb6171c75d0579ca573405c27,1,0.0,0.0,0,499.0,499.0,499,49.0,49.0,49,0,0,0.0,0.0,0.0
023cb2dd442c0affdddaea8703c60cb967d7e78e4217de2fb16016b0e8473f17,3,676667.33,1000001.0,2030002,2165.67,499.0,6497,49.0,49.0,147,1,1,0.0,0.0,0.0
024953ab83713b32819916d25300f1e9c45b3e4912c6d1a4527ce4d8c301d562,1,300000.0,300000.0,300000,2499.0,2499.0,2499,49.0,49.0,49,1,1,0.0,0.0,0.0
025b502327fa56263c8dc4255275d4f0520a9bffc93718e7256c3ac70ab3f6ab,1,3000.0,3000.0,3000,5499.0,5499.0,5499,249.0,249.0,249,1,1,0.0,0.0,0.0
025d6e3a0b4b129f263e37593d198caa31f97df4a426febf12bd6ea9714ef5e3,4,41250.0,30000.0,165000,9499.0,10999.0,37996,224.0,199.0,896,0,1,0.25,0.0,0.0
0272f92d8014f32f2f6c3fce05816e9b4baba1ef0291a46a109e28132ac860a2,8,1000001.0,1000001.0,8000008,151874.0,124999.0,1214992,2055.25,1499.0,16442,0,0,0.0,0.0,0.0
029ac119174cf8555f612b548c31fcc846dffa23854a833f3b15635248448aab,14,184285.71,300000.0,2580000,144641.86,98749.0,2024986,2656.14,1999.0,37186,0,0,0.0,0.0,0.0
02a7b513726870d003145ee131123eaa8d7a486b14b58b92b1fce9e84382e7e6,4,825000.75,1000001.0,3300003,111874.0,97499.0,447496,724.0,599.0,2896,0,1,0.0,0.0,0.0
02b063e1bfcc1b034d1dc775985ec24c4be01b5c118150ddf7b29881c0abfa3b,1,7500.0,7500.0,7500,1499.0,1499.0,1499,49.0,49.0,49,1,1,0.0,0.0,0.0
02b288bb9427fda8494f8b0d332ec738094d1b79eac8bdbc7445a720ad514083,1,1000001.0,1000001.0,1000001,499.0,499.0,499,49.0,49.0,49,0,0,0.0,0.0,0.0
02b603c3045ebfcd51bda7726f3afb3e72b5fb6195559c52e35f4eaff4636811,3,60000.0,75000.0,180000,25832.33,27499.0,77497,782.33,849.0,2347,0,1,0.0,0.0,0.0
02d3951d8d303eaeaff9b245541314ae46c08986c8e3040806d2e0cba072b3df,1,0.0,0.0,0,499.0,499.0,499,49.0,49.0,49,0,0,0.0,0.0,0.0
03304f9002f294d0db5f77a50e79846b1d848c6056c3a28b6f615468fb87a2b6,7,928572.14,1000001.0,6500005,1499.0,1499.0,10493,49.0,49.0,343,1,1,0.0,0.0,0.0
0338e785d6fa46a5042402331faabde8eb480b2ee34af78033600e99a5365534,1,0.0,0.0,0,499.0,499.0,499,49.0,49.0,49,0,0,0.0,0.0,0.0
0341a6bcb3d2268682a6845272e7735ab2f1977da7c4be956728bd879dd17de3,1,1000001.0,1000001.0,1000001,8499.0,8499.0,8499,49.0,49.0,49,0,0,0.0,0.0,0.0
0344eb8d9eb67224fb3ae91ed434c5724d81d2bdaf3d9657d133db876f3e3d87,1,750000.0,750000.0,750000,3499.0,3499.0,3499,49.0,49.0,49,1,1,0.0,0.0,1.0
034600fe34b9b8a7651c12f9e3253510ab3b81eb3c76a19f57e38955571765d4,17,30505.88,30000.0,518600,3440.18,2499.0,58483,90.18,49.0,1533,0,0,0.0,0.0,0.0
0348d3ed118c2845e08174d509ef13c85e1440ce137fb6c77a9ce618c4b816a2,2,750000.0,750000.0,1500000,1999.0,1999.0,3998,49.0,49.0,98,1,0,0.0,0.0,0.0
03492a04f14f8b6180390b8b70d44c80cc9f268fa7d09ccb11496cf47240d83f,37,1000001.0,1000001.0,37000037,191120.65,84999.0,7071464,1127.38,549.0,41713,0,0,0.08,0.0,0.0
034e0ec8c22c2fa4975a550f295be2672bc66eaed4c65ab652fe85e8e12f2ff5,4,500000.5,500000.5,2000002,11249.0,7999.0,44996,174.0,149.0,696,1,0,0.0,0.0,0.0
0356a106a263b0c73e3d07eebe8c818b76c377b4e1e8a67b17ccec8790227b30,1,75000.0,75000.0,75000,94999.0,94999.0,94999,1249.0,1249.0,1249,1,1,0.0,0.0,0.0
03573ed207a810973e2ee28e5b3f9a4d5d1737529d651d88d805628a356adc64,6,441758.5,300000.0,2650551,5665.67,4499.0,33994,115.67,149.0,694,1,0,0.0,0.0,0.0
036b44a8c2d3354c99da5e6dfe4efc2d6a87c40b91fff9cd75935ec639f1d802,6,335333.67,3000.0,2012002,31332.33,2999.0,187994,232.33,149.0,1394,1,0,0.0,0.0,0.0
0389bd549a290436965fb571302e5f4bfa3d7bd9ff1fca0bc0cd555a70998ce4,1,300000.0,300000.0,300000,8499.0,8499.0,8499,49.0,49.0,49,0,0,0.0,0.0,0.0
039314f36f2a642847d2a07b94f0b988b31c3321ca9f5ee244cfb11b94e2a487,1,1000001.0,1000001.0,1000001,4499.0,4499.0,4499,49.0,49.0,49,1,1,0.0,0.0,0.0
039655b7cbda2f0f7448bb7a805839440d3c73ecf2cdf1cb828f091201be383e,1,300000.0,300000.0,300000,2499.0,2499.0,2499,149.0,149.0,149,0,0,1.0,0.0,0.0
03a0f740cc5776ef93ad6b687d4d9529fc898547613ea2c9bcf5d6417845e38f,3,383333.67,75000.0,1150001,4832.33,5499.0,14497,49.0,49.0,147,0,0,0.0,0.0,0.0
03abde6234c0de5bab0cd35a07749c8f07a9a6529166e1df8864cad8b0e65860,8,120000.0,75000.0,960000,45374.0,27499.0,362992,1474.0,1299.0,11792,1,0,0.0,0.0,0.0
03bb6944c0b0f7ac7d993bc10206ab152d150c0a8687727b17c97a753c5cf613,1,1000001.0,1000001.0,1000001,499.0,499.0,499,49.0,49.0,49,1,1,0.0,0.0,0.0
