source,id,retweetCount,replyCount,likeCount,quoteCount,viewCount,advocacy_msg_type_illuminating,issue_msg_type_illuminating,attack_msg_type_illuminating,covid_topic_illuminating,economy_topic_illuminating,education_topic_illuminating,environment_topic_illuminating,incivility_illuminating,fraud_illuminating
Hootsuite Inc.,acd3d603009f99e1184bd60ab1aa06fec718c9f92ee4b387b4dd261a39aff72e,55,17,133,3,59114,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Hootsuite Inc.,af239b37d04b072603c33545ef9a89998fb4311971dab67970d6d9a6e710ccf2,165,70,444,9,24063,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Hootsuite Inc.,af822bb1bcf1082a5f6ef1fa9b765b55e4f16f9f0e56fa96df81c2868151f862,180,56,487,19,38185,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Hootsuite Inc.,b195405c01c47f1eb17fed09145ab74b04fdd974bca029d65a52b356548ad793,86,34,241,4,16732,,,,,,,,,0
Hootsuite Inc.,b8142ba92d6270838d53567e0ac1c4e625df52644233ecf701135021a19b101c,81,33,211,7,17525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Hootsuite Inc.,b9989d0ada3cacc6ed6fc3fa18cb09e132eda4e0eeb3d7d2bf316ff5e3d67e83,154,39,325,7,22492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Hootsuite Inc.,bf0ae8a4735de71c2aa1d8fc74dc3f07f434f838ac42b59a9f0efef016e0fa92,99,38,226,10,19369,,,,,,,,,0
Hootsuite Inc.,c01b9b5644e2255644e18cfeac2ff283d712fb1584c78ff53452d4d8ebca61ec,115,29,298,1,18112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Hootsuite Inc.,cb3f86cac845c8a6bed566177043dc305647687b73a38953cf3de1257bcf81b3,123,36,540,15,35707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Hootsuite Inc.,d149f96e5104eb8d443b735d424c18e262caac4c2810211f95d209d4899b63b3,63,26,171,2,36980,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Hootsuite Inc.,d731aa6f68851ed543e2788b5f1c838472242b43176d0aa33b486a97da923dfb,83,37,245,5,28549,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
